words,sentence #,tag
COPPER,0,O
CLAD,0,O
LAMINATE,0,O
AS,0,O
PER,0,O
PROFORMA,0,O
INVOICE,0,O
NK201801012,0,O
DD,0,O
1N0N2018,0,O
DELIVERY,0,O
TERMS,0,O
CFR,0,O
SOUSSE,0,O
PORT,0,O
+,1,O
BRIDGESTONE,1,O
BRAND,1,O
TIRE(S),1,O
AND,1,O
O-RING(S),1,O
+,1,O
AS,1,O
PER,1,O
SALES,1,O
CONTRACT,1,O
NO8ACA021X+,1,O
AS,1,O
PER,1,O
SALES,1,O
CONTRACT,1,O
DATED,1,O
22,1,O
Dec-17,1,O
NO8ACA021X+,1,O
CIF,1,O
XINGANGCHINA,1,O
(INCOTERMS-201,1,O
+,2,O
BRIDGESTONE,2,O
BRAND,2,O
TIRE(S),2,O
AND,2,O
O-RING(S),2,O
+,2,O
AS,2,O
PER,2,O
SALES,2,O
CONTRACT,2,O
NO8ACA021XDATED,2,O
22,2,O
Dec-17,2,O
+,2,O
CIF,2,O
XINGANGCHINA,2,O
(INCOTERMS-201,2,O
+,3,O
BRIDGESTONE,3,O
BRAND,3,O
TIRE(S),3,O
AND,3,O
O-RING(S).,3,O
+,3,O
AS,3,O
PER,3,O
SALES,3,O
CONTRACT,3,O
NO8ACA021XDATED,3,O
22,3,O
Dec-17,3,O
+,3,O
CIF,3,O
XINGANGCHINA,3,O
(INCOTERMS-201,3,O
LEATHER,4,O
MEN'S,4,O
AND/OR,4,O
LEATHER,4,O
LADIES',4,O
GARMENTS,4,O
UNDER,4,O
SUPPLY,4,O
CONTRACT,4,O
NO126223/2009,4,O
DO04,4,O
JUNE,4,O
200O,4,O
FCA,4,O
KARACHIPAKISTAN,4,O
AND/OR,4,O
FOB,4,O
KARACHIPAKISTAN,4,O
(INCOTERMS,4,O
201,4,O
LEATHER,5,O
MEN'S,5,O
AND/OR,5,O
LEATHER,5,O
LADIES',5,O
GARMENTS,5,O
UNDER,5,O
SUPPLY,5,O
CONTRACT,5,O
NO126223/2009,5,O
DO04,5,O
JUNE,5,O
200O,5,O
FCA,5,O
KARACHIPAKISTAN,5,O
AND/OR,5,O
FOB,5,O
KARACHIPAKISTAN,5,O
(INCOTERMS,5,O
201,5,O
QUANTITY,6,O
90000,6,O
M(+/-10,6,O
O/O),6,O
DESCRIPTION,6,O
POLIESTER,6,O
SATIN,6,O
FABRIC,6,O
CODE,6,O
42250,6,O
GREY,6,O
A7,6,O
GRADE,6,O
PO,6,O
N07929/10,6,O
CIF,6,O
INCOTERMS,6,O
2010,6,O
QUANTITY,7,O
90000,7,O
M(+/-10,7,O
O/O),7,O
DESCRIPTION,7,O
POLIESTER,7,O
SATIN,7,O
FABRIC,7,O
CODE,7,O
42250,7,O
GREY,7,O
A7,7,O
GRADE,7,O
PO,7,O
N07929/10,7,O
CIF,7,O
INCOTERMS,7,O
2010,7,O
TOYS,8,O
AS,8,O
PER,8,O
PROFORMA,8,O
INVOICE,8,O
NO,8,O
TSO1801008,8,O
ACCORDING,8,O
TO,8,O
CONTRACT,8,O
2007/KT/20O,8,O
TOYS,9,O
AS,9,O
PER,9,O
PROFORMA,9,O
INVOICE,9,O
NO,9,O
TSO1801008,9,O
ACCORDING,9,O
TO,9,O
CONTRACT,9,O
2007/KT/20O,9,O
COPPER,10,O
CLAD,10,O
LAMINATE,10,O
AS,10,O
PER,10,O
PROFORMA,10,O
INVOICE,10,O
NK201801012,10,O
DD,10,O
1N0N2018,10,O
DELIVERY,10,O
TERMS,10,O
CFR,10,O
SOUSSE,10,O
PORT,10,O
MULTIPURPOSE,11,O
CLOTH,11,O
38X38CM,11,O
392860,11,O
PINK,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
392880,11,O
YELLOW,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
392890,11,O
GREEN,11,O
14100PCS,11,O
PRICE,11,O
EUR84850,11,O
FREIGHT,11,O
COST,11,O
CHARGE,11,O
1X40HC,11,O
EX,11,O
WORKS,11,O
PRICE,11,O
EUR15800,11,O
TOTAL,11,O
AMOUNT,11,O
EUR269850,11,O
ORIGIN,11,O
GERMANY,11,O
CFR,11,O
BUSAN,11,O
PRODUCT,12,O
HYDROUS,12,O
ETHANOL,12,O
QUANTITY,12,O
2'500000,12,O
METRIC,12,O
TONS,12,O
+,12,O
/5,12,O
PCT,12,O
PRICE,12,O
USD,12,O
77000/MT,12,O
DELIVERY,12,O
TERMS,12,O
FOB,12,O
KARACHIPAKISTAN,12,O
COUNTRY,12,O
OF,12,O
ORIGIN,12,O
PAKISTAN,12,O
LOADPORT,12,O
KARACHIPAKISTAN,12,O
DISCHARGE,12,O
PORT,12,O
JUBAIL000,12,O
LATEST,12,O
SHIPMENT,12,O
DATE,12,O
APRIL,12,O
202014,12,O
DESCRIPTION,13,O
OF,13,O
GOODS,13,O
COMMODITY,13,O
VCM,13,O
QUANTITY,13,O
4'200MT,13,O
PLUS/MINUS,13,O
5,13,O
PERCENT,13,O
QUALITY,13,O
IN,13,O
ACCORDANCE,13,O
WITH,13,O
SP,13,O
CHEMICALS,13,O
(TAIXIN),13,O
CO,13,O
LTD,13,O
GUARANTEED,13,O
SPECIFICATIONS,13,O
PRICE,13,O
USD,13,O
87O00,13,O
PER,13,O
MT,13,O
DELIVERY,13,O
TERMS,13,O
FOB,13,O
TAIXINGCHINA,13,O
ORIGIN,13,O
CHINA,13,O
2500,14,O
METRIC,14,O
TONS,14,O
PLUS,14,O
OR,14,O
MINUS,14,O
TEN,14,O
PCT,14,O
OF,14,O
RUSSIAN,14,O
EXPORT,14,O
BLEND,14,O
CRUDE,14,O
OIL,14,O
(REBCO),14,O
IN,14,O
ACCORDANCE,14,O
WITH,14,O
THE,14,O
CONTRACT,14,O
NO,14,O
4116/14,14,O
DO,14,O
0O0O2014,14,O
TERMS,14,O
OF,14,O
DELIVERY,14,O
FOB,14,O
PRIMORSK,14,O
AS,14,O
PER,14,O
INCOTERMS,14,O
2000,14,O
THE,14,O
GOODS,14,O
MUST,14,O
BE,14,O
LOADED,14,O
ON,14,O
BOARD,14,O
THE,14,O
VESSEL,14,O
MT,14,O
MONTEGO/SUB,14,O
PRICE,14,O
FINAL,14,O
PRICE,14,O
INDICATED,14,O
IN,14,O
THE,14,O
INVOICE,14,O
TO,14,O
BE,14,O
CALCULATED,14,O
IN,14,O
ACCORDANCE,14,O
WITH,14,O
APPENDIX,14,O
2,14,O
TO,14,O
THE,14,O
CONTRACT,14,O
4116/14,14,O
DO,14,O
0O0O2014,14,O
(FOB,14,O
PRIMORSK,14,O
PRICE,14,O
FORMULA),14,O
2000,15,O
MTS,15,O
MIN,15,O
/,15,O
MAX,15,O
RAW,15,O
CANE,15,O
SUGAR,15,O
OF,15,O
FAIR,15,O
AVERAGE,15,O
QUALITY,15,O
UNIT,15,O
PRICE,15,O
USD,15,O
374340000,15,O
PER,15,O
MT,15,O
BASIS,15,O
96,15,O
DEGREES,15,O
POLARISATION,15,O
NET,15,O
SHIPPING,15,O
WEIGHTS,15,O
FOB,15,O
SANTOS,15,O
PORT,15,O
NO,16,O
1,16,O
GUATEMALAN,16,O
CANE,16,O
RAW,16,O
SUGAR,16,O
IN,16,O
BULKAVERAGE,16,O
POLARIZATION,16,O
MINIMUM,16,O
9O5,16,O
DEGREES/MAXIMUM,16,O
9O99,16,O
DEGREES,16,O
WET,16,O
BASIS,16,O
AT,16,O
TIME,16,O
OF,16,O
A,16,O
RRIVAL,16,O
AT,16,O
DESTINATION,16,O
2000M/T,16,O
X,16,O
43O34/MT,16,O
USD8060O00,16,O
ORIGIN,16,O
AUSTRALIA,16,O
CFR,16,O
ULSANKOREA,16,O
COMMODITY,17,O
CUMENE,17,O
QUANTITY,17,O
1500MT,17,O
PRICE,17,O
TERM,17,O
USD12038/MT,17,O
CFR,17,O
SHANGHAI,17,O
ORIGIN,17,O
JAPAN,17,O
PACKING,17,O
IN,17,O
BULK,17,O
ELECTROLYTIC,18,O
COPPER,18,O
CATHODESDELIVERY,18,O
TERM,18,O
CIF,18,O
FO,18,O
NEMRUT,18,O
BAY,18,O
ALIAGA,18,O
TURKEY,18,O
(INCOTERMS,18,O
201,18,O
#NAME?,19,O
6000METRIC,19,O
TONS,19,O
UP,19,O
TO,19,O
10,19,O
PCT,19,O
PLUS,19,O
OR,19,O
MINUS,19,O
OF,19,O
FUEL,19,O
OIL,19,O
1PCT,19,O
SULPHURO,19,O
BE,19,O
DELIVERED,19,O
CIF,19,O
(COSTNSURANCEREIGHT),19,O
ONE,19,O
OR,19,O
TWO,19,O
SAFE,19,O
PORT(S)/,19,O
ONE,19,O
OR,19,O
TWO,19,O
SAFE,19,O
BERTH(S)LEBANON,19,O
FROM,19,O
ANY,19,O
BLACK,19,O
SEA,19,O
AND/OR,19,O
EUROPEAN,19,O
AND/OR,19,O
AMERICAN,19,O
AND/OR,19,O
ARAB,19,O
COUNTRY,19,O
AND/OR,19,O
ARAB,19,O
GULF,19,O
AND/OR,19,O
INDIA,19,O
AND/OR,19,O
FAR,19,O
EAST,19,O
AND/OR,19,O
TURKISH,19,O
PORT(S)LOADED,19,O
ON,19,O
BOARD,19,O
MT,19,O
'ARIANE''OR,19,O
SUBSTITUT0,19,O
#NAME?,19,O
PRICE,19,O
IN,19,O
USD,19,O
PER,19,O
METRIC,19,O
TON,19,O
CIF,19,O
ONE,19,O
OR,19,O
TWO,19,O
PORT(S)/,19,O
BERTH(S),19,O
LEBANONASED,19,O
ON,19,O
B/L,19,O
QUANTITYILL,19,O
BE,19,O
EQUAL,19,O
TO,19,O
THE,19,O
AVERAGE,19,O
OF,19,O
THE,19,O
HIGH,19,O
AND,19,O
LOW,19,O
QUOTATIONS,19,O
AS,19,O
PUBLISHED,19,O
IN,19,O
PLATTS,19,O
EUROPEAN,19,O
MARKETSCAN,19,O
UNDER,19,O
THE,19,O
HEADING,19,O
'CIF,19,O
MED,19,O
BASIS,19,O
GENOVA/LAVERA',19,O
FOR,19,O
'FUEL,19,O
0,19,O
PCT',19,O
PLUS,19,O
A,19,O
PREMIUM,19,O
AS,19,O
FOLLOWS,19,O
USD,19,O
2050,19,O
PER,19,O
METRIC,19,O
TON(US,19,O
DOLLARS,19,O
TWENTY,19,O
NINE,19,O
AND,19,O
FIFTY,19,O
CENTS,19,O
PER,19,O
METRIC,19,O
TON).,19,O
THE,19,O
QUOTATIONS,19,O
TO,19,O
BE,19,O
TAKEN,19,O
INTO,19,O
CONSIDERATION,19,O
WILL,19,O
BE,19,O
ALL,19,O
EFFECTIVE,19,O
AND,19,O
VALID,19,O
QUOTATIONS,19,O
APPLICABLE,19,O
FOR,19,O
THE,19,O
MONTH,19,O
IN,19,O
WHICH,19,O
THE,19,O
BILL,19,O
OF,19,O
LADING,19,O
OF,19,O
THE,19,O
CARGO(ES),19,O
FALL(S).,19,O
IN,19,O
CASE,19,O
OF,19,O
TWO,19,O
PORTS/BERTHS,19,O
DISCHARGE,19,O
IN,19,O
LEBANON,19,O
THE,19,O
FINAL,19,O
PRICE,19,O
OF,19,O
THE,19,O
CARGO,19,O
WILL,19,O
BE,19,O
INCREASED,19,O
BY,19,O
USD,19,O
0,19,O
PMT,19,O
(US,19,O
DOLLAR,19,O
ONE,19,O
PER,19,O
METRIC,19,O
TON)HE,19,O
FINAL,19,O
UNIT,19,O
PRICE,19,O
IS,19,O
TO,19,O
BE,19,O
CALCULATED,19,O
UP,19,O
TO,19,O
4,19,O
DECIMAL,19,O
PLACE0IF,19,O
THE,19,O
5TH,19,O
DECIMAL,19,O
DIGIT,19,O
IS,19,O
LESS,19,O
THAN,19,O
5,19,O
IT,19,O
IS,19,O
TO,19,O
BE,19,O
DISREGARDEDIF,19,O
IT,19,O
IS,19,O
GREATER,19,O
THAN,19,O
OR,19,O
EQUAL,19,O
TO,19,O
5HE,19,O
4TH,19,O
DECIMAL,19,O
DIGIT,19,O
IS,19,O
INCREASED,19,O
BY,19,O
ONE,19,O
220MT,20,O
TOLUENE,20,O
AT,20,O
THE,20,O
RATE,20,O
OF,20,O
USD,20,O
115168,20,O
PER,20,O
MT,20,O
CIF,20,O
KANDLA,20,O
AS,20,O
PER,20,O
CONTRACT,20,O
N11214TS000102,20,O
DATED,20,O
11012014,20,O
ISSUED,20,O
BY,20,O
M/S,20,O
KOLMAR,20,O
GROUP,20,O
AG,20,O
METALLIAARERSTRASSE,20,O
18,20,O
6300UGWITZERLAND,20,O
RUSSIAN,21,O
MILLING,21,O
WHEAT,21,O
IN,21,O
BULK,21,O
QUANTITY,21,O
3000,21,O
MT,21,O
UNIT,21,O
PRICE,21,O
USD,21,O
2880/MT,21,O
AS,21,O
PER,21,O
PROFORMA,21,O
INVOICE,21,O
NO,21,O
110164,21,O
DATED,21,O
13032014,21,O
CIF,21,O
ANY,21,O
PORT,21,O
IN,21,O
MARMARA,21,O
REGION,21,O
TURKEY,21,O
(AC3,21,O
TO,21,O
INCOTERMS,21,O
201,21,O
EX-BONDED,22,O
WAREHOUSE,22,O
KAOHSIUNG,22,O
+,22,O
PRIMARY,22,O
UNALLOYED,22,O
ALUMINIUM,22,O
INGOTS997,22,O
PCT,22,O
AL,22,O
MI9,22,O
99589,22,O
MTS,22,O
USD210/MT,22,O
200000,23,O
WMT,23,O
(PLUS,23,O
OR,23,O
MINUS,23,O
10,23,O
PCT),23,O
OF,23,O
LEAD,23,O
CONCENTRATES,23,O
AS,23,O
PER,23,O
BENEFICIARY'S,23,O
SALES,23,O
CONTRACT,23,O
N0,23,O
RMS,23,O
12831/00,23,O
DATED,23,O
03-Dec-10,23,O
(INCOTERMS,23,O
2010DATMUNDRA,23,O
PORTINDIA),23,O
PRODUCT,24,O
HYDROUS,24,O
ETHANOL,24,O
QUANTITY,24,O
2'500000,24,O
METRIC,24,O
TONS,24,O
+,24,O
/,24,O
-5,24,O
PCT,24,O
PRICE,24,O
USD,24,O
77000/MTDELIVERY,24,O
TERMS,24,O
FOB,24,O
KARACHIPAKISTANCOUNTRY,24,O
OF,24,O
ORIGIN,24,O
PAKISTAN,24,O
LOADPORT,24,O
KARACHIPAKISTANDISCHARGE,24,O
PORT,24,O
JUBAIL000,24,O
LATEST,24,O
SHIPMENT,24,O
DATE,24,O
APRIL,24,O
202014,24,O
DESCRIPTION,25,O
OF,25,O
GOODS,25,O
COMMODITY,25,O
VCM,25,O
QUANTITY,25,O
4'200MT,25,O
PLUS/MINUS,25,O
5,25,O
PERCENT,25,O
QUALITY,25,O
IN,25,O
ACCORDANCE,25,O
WITH,25,O
SP,25,O
CHEMICALS,25,O
(TAIXIN),25,O
CO,25,O
LTD,25,O
GUARANTEED,25,O
SPECIFICATIONS,25,O
PRICE,25,O
USD,25,O
87O00,25,O
PER,25,O
MT,25,O
DELIVERY,25,O
TERMS,25,O
FOB,25,O
TAIXINGCHINA,25,O
ORIGIN,25,O
CHINA,25,O
FOB,26,O
DJIBOUTI,26,O
/,26,O
ETHIOPIA,26,O
PORT,26,O
QTY,26,O
363,26,O
MT,26,O
(15,26,O
X,26,O
20,26,O
FT,26,O
CONTAINERS,26,O
EACH,26,O
IS,26,O
STUFFED,26,O
WITH,26,O
24MTS),26,O
BOLD,26,O
DESI,26,O
CHICK,26,O
PEASNEW,26,O
CROP,26,O
2018/19PURITY,26,O
985,26,O
PERCENT,26,O
SHAWA,26,O
TYPEMACHINES,26,O
CLEANEDTOTAL,26,O
DEFECTS,26,O
MAX,26,O
85,26,O
PCT,26,O
AND,26,O
MAX,26,O
2,26,O
PCT,26,O
BLACKPACKED,26,O
IN,26,O
50KG,26,O
PP,26,O
WOOVEN,26,O
BAGSAT,26,O
USD,26,O
555,26,O
PER,26,O
M/TO8,26,O
AS,26,O
PER,26,O
BENEFICIARY'S,26,O
SALES,26,O
CONTRACT,26,O
N8,26,O
1,26,O
FNTTP/007/2019,26,O
DATED,26,O
281819,26,O
GARMENTS,27,O
AND/OR,27,O
ACCESSORIES,27,O
(VESTUARIO,27,O
E/OU,27,O
ACESSORIOS),27,O
INCOTERMS,27,O
2010,27,O
FOB,27,O
PORT,27,O
SHANGHAIYANTIANXIAMEN,27,O
OR,27,O
QINGDAOAND,27,O
MUST,27,O
BE,27,O
THE,27,O
SAME,27,O
THAT,27,O
WAS,27,O
INFORMED,27,O
AS,27,O
PER,27,O
PROFORMAS,27,O
19R403819R4170,27,O
TELECOMMUNICATION,28,O
EQUIPMENT,28,O
AS,28,O
PER,28,O
PROFORMA,28,O
INVOICES,28,O
00123/00121/00122,28,O
IN,28,O
CASE,28,O
OF,28,O
SHIPMENT,28,O
BY,28,O
SEA,28,O
VALUE,28,O
FCA,28,O
ROTTERDAM,28,O
FULL,28,O
JAS,28,O
ROT,28,O
WAREHOUSETHE,28,O
NETHERLAND2,28,O
(INCOTERMS,28,O
201,28,O
IN,28,O
CASE,28,O
OF,28,O
SHIPMENT,28,O
BY,28,O
AIR,28,O
VALUE,28,O
FCA,28,O
ANY,28,O
AIRPORT,28,O
IN,28,O
AMSTERDAMTHE,28,O
NETHERLANDS,28,O
(INCOTERMS,28,O
201,28,O
GOODS,28,O
ORIGIN,28,O
CHINA,28,O
(PLUS,29,O
OR,29,O
MINUS,29,O
5,29,O
PCT),29,O
500,29,O
MT,29,O
OF,29,O
DEFORMED,29,O
STEEL,29,O
BARS,29,O
ACC,29,O
TO,29,O
QUALITY,29,O
IS,29,O
4463S-S400W,29,O
AT,29,O
USD,29,O
46C00,29,O
PER,29,O
MC,29,O
(PLUS,29,O
OR,29,O
MINUS,29,O
5,29,O
PCT),29,O
500,29,O
MT,29,O
OF,29,O
HOT,29,O
ROLLED,29,O
MESH,29,O
MAKING,29,O
WIRE,29,O
RODS,29,O
IN,29,O
COILS,29,O
AT,29,O
USD,29,O
51C00,29,O
PER,29,O
MC,29,O
ABOVE,29,O
GOODS,29,O
ARE,29,O
AS,29,O
PER,29,O
PROFORMA,29,O
INVOICE,29,O
NCD173,29,O
AND,29,O
W9C,29,O
COMMERCIAL,29,O
TERMS,29,O
CFR,29,O
LO,29,O
ASHDOD,29,O
SEAPORT-ISRAEL,29,O
(INCOTERMS,29,O
20C,29,O
DDS,30,O
MOBILE,30,O
CHARGNING,30,O
MACHINE,30,O
SPARE,30,O
PARTS,30,O
QUANTITY,30,O
67,30,O
PCS,30,O
TOTAL,30,O
AMOUNT,30,O
EUR,30,O
655375,30,O
AS,30,O
PER,30,O
PROFORMA,30,O
INVOICE,30,O
NO,30,O
10000103,30,O
DATED,30,O
04/12/2020,30,O
EXW,30,O
ANY,30,O
PLACE,30,O
IN,30,O
GERMANY,30,O
(INCOTERMS,30,O
202,30,O
+,31,O
COMMODITY,31,O
MAKROLON,31,O
2807,31,O
10131,31,O
(POLYCARBONATE,31,O
RESIN,31,O
WHITE),31,O
+,31,O
TOTAL,31,O
QUANTITY,31,O
4500,31,O
KGS,31,O
(+/-5PCT),31,O
+,31,O
UNIT,31,O
PRICE,31,O
USE223/KG,31,O
+,31,O
TOTAL,31,O
AMOUNT,31,O
USD,31,O
1005200(+/-5PCT),31,O
CIF,31,O
HAIPHONG,31,O
PORTVIETNAM,31,O
INCOTERMS,31,O
2010,31,O
+,31,O
ORIGIN,31,O
THAILAND,31,O
OR,31,O
CHINA,31,O
+,31,O
PACKING,31,O
25KGS/PE-BAG-1500KGS/PALLET,31,O
+,31,O
MARKING,31,O
AS,31,O
PER,31,O
EXPORT,31,O
STANDAR2,31,O
(DETAILS,31,O
AS,31,O
PER,31,O
CONTRACT,31,O
N2,31,O
PCS/XLT/1461TH,31,O
DATED,31,O
NOV,31,O
25TH,31,O
201,31,O
1123,32,O
Boxes,32,O
of,32,O
Tennis,32,O
Sneakers,32,O
marked,32,O
Djoko,32,O
23,32,O
/ADD/,33,O
Packed,33,O
in,33,O
wooden,33,O
crates,33,O
3450,34,O
Wooden,34,O
Crates,34,O
filled,34,O
with,34,O
Blue,34,O
Cheese,34,O
Bottles,34,O
as,34,O
per,34,O
Letter,34,O
of,34,O
Credit,34,O
No56112,34,O
of,34,O
the,34,O
Apple,34,O
BankPear,34,O
City,34,O
BranchFruitaniaissued,34,O
on,34,O
102014,34,O
PLAQUES,35,O
GRANITS,35,O
AS,35,O
PER,35,O
PROFORMA,35,O
INVOICE,35,O
NUMBER,35,O
C-396,35,O
DATED,35,O
23/11/202S,35,O
SALES,35,O
CONDITIONS,35,O
EXW,35,O
SANKARIINDIS,35,O
GARMENTS,36,O
AND/OR,36,O
ACCESSORIES,36,O
(VESTUARIO,36,O
E/OU,36,O
ACESSORIOS),36,O
INCOTERMS,36,O
2010,36,O
FOB,36,O
PORT,36,O
SHANGHAIYANTIANXIAMEN,36,O
OR,36,O
QINGDAOAND,36,O
MUST,36,O
BE,36,O
THE,36,O
SAME,36,O
THAT,36,O
WAS,36,O
INFORMED,36,O
AS,36,O
PER,36,O
PROFORMAS,36,O
19R403819R4170,36,O
SUPERMARKET,36,O
EQUIPMENTS,36,O
ALL,36,O
OTHER,36,O
DETAILS,36,O
ARE,36,O
AS,36,O
PER,36,O
PROFORMA,36,O
INVOICE,36,O
NOS,36,O
956934/OS,36,O
DATED,36,O
01-Oct-21,36,O
AND,36,O
APPLICANT'S,36,O
SS,36,O
NOS,36,O
141613456,36,O
AND,36,O
141613462,36,O
DATED,36,O
02-Oct-21,36,O
AND,36,O
03-Oct-21,36,O
RESPECTIVELS,36,O
INCOTERMS,36,O
EX-WORKSTREVIOLOBERGAMOITALY,36,O
SUPERMARKET,37,O
EQUIPMENTS,37,O
ALL,37,O
OTHER,37,O
DETAILS,37,O
ARE,37,O
AS,37,O
PER,37,O
PROFORMA,37,O
INVOICE,37,O
NOS,37,O
956934/OS,37,O
DATED,37,O
01-Oct-21,37,O
AND,37,O
APPLICANT'S,37,O
SS,37,O
NOS,37,O
141613456,37,O
AND,37,O
141613462,37,O
DATED,37,O
02-Oct-21,37,O
AND,37,O
03-Oct-21,37,O
RESPECTIVELS,37,O
INCOTERMS,37,O
EX-WORKSTREVIOLOBERGAMOITALY,37,O
10000,38,O
Bottles,38,O
(,38,O
+/-,38,O
05-May,38,O
%),38,O
of,38,O
First,38,O
Class,38,O
Technical,38,O
Machinery,38,O
Sodapacked,38,O
in,38,O
blue,38,O
crates,38,O
labelled,38,O
‘Test,38,O
Machine,38,O
London’,38,O
Unit,38,O
Price,38,O
Usd,38,O
50,38,O
DELIVERY,38,O
TERMS;,38,O
CIF,38,O
TORONTO,38,O
Origin,38,O
of,38,O
the,38,O
goods,38,O
Germany,38,O
ARI-FABA,39,O
BELLOW,39,O
SEALED,39,O
VALVES,39,O
FOR,39,O
OLEOHYDRAULIC,39,O
OR,39,O
PNEUMATIC,39,O
TRANSMISSION,39,O
TYPE,39,O
1N046,39,O
BODY,39,O
MATERIAL,39,O
CAST,39,O
IRON,39,O
GG-25,39,O
STEAM,39,O
SEALING,39,O
STAINLESS,39,O
STEEL,39,O
N4571,39,O
BELOW,39,O
+,39,O
END,39,O
CONNECTIONS,39,O
FLANGED,39,O
TO,39,O
PN,39,O
16,39,O
DN,39,O
50QTY,39,O
200,39,O
NOS,39,O
AT,39,O
EUR7N29/NO,39,O
DN,39,O
80QTY,39,O
100,39,O
NOS,39,O
AT,39,O
EUR13N62/NO,39,O
DN,39,O
100QTY,39,O
100,39,O
NOS,39,O
AT,39,O
EUR17N41/NN,39,O
CFR,39,O
CHITTAGONG,39,O
SEA,39,O
PORTANGLADESHANGLADESH(INCOTERMS,39,O
201,39,O
DESCRIPTIONUALITYQUANTITYSPECIFICATION,39,O
PRICE,39,O
OF,39,O
THE,39,O
GOODS,39,O
TO,39,O
BE,39,O
AS,39,O
PER,39,O
PROFORMA,39,O
INVOICE,39,O
NN,39,O
NPFM,39,O
1345,39,O
DATED,39,O
3N0N2018,39,O
OF,39,O
THE,39,O
BENEFICIARN,39,O
3358,40,O
PCS,40,O
OF,40,O
WEARING,40,O
APPARELS,40,O
AS,40,O
PER,40,O
ORDER,40,O
REF,40,O
NF,40,O
HKG08/FW17,40,O
DATED,40,O
20,40,O
APR,40,O
2017,40,O
CPT,40,O
INCOTERMS,40,O
2010,40,O
OM,40,O
LOG,40,O
ASIA,40,O
LTD,40,O
WAREHOUSEHONG,40,O
KONG,40,O
FOB,40,O
INCOTERMS,40,O
2010,40,O
SHANGHAI,40,O
PORT,40,O
CPT,40,O
INCOTERMS,40,O
2010,40,O
HONG,40,O
KONG,40,O
AIRPORT,40,O
FCA,40,O
INCOTERMS,40,O
2010,40,O
SHANGHAI,40,O
AIRPORF,40,O
SHIPMENT,40,O
PERIOD,40,O
A,40,O
FOLLOW,40,O
WITHIN,40,O
05/06/2017,40,O
HONG,40,O
KONG,40,O
ORDER,40,O
NF,40,O
5.15518E+11,40,O
WITHIN,40,O
08/06/2017,40,O
HONG,40,O
KONG,40,O
ORDER,40,O
NF,40,O
5.08511E+11,40,O
WITHIN,40,O
01/07/2017,40,O
HONG,40,O
KONG,40,O
ORDER,40,O
NF,40,O
794,40,O
WITHIN,40,O
05/07/2017,40,O
HONG,40,O
KONG,40,O
ORDER,40,O
NF,40,O
787,40,O
788,40,O
790,40,O
792,40,O
WITHIN,40,O
17/07/2017,40,O
HONG,40,O
KONG,40,O
ORDER,40,O
NF,40,O
796,40,O